wikidata_id,match_probability,matched_name,matched_field,gc_orgID,harmonized_name,nom_harmonise,legal_title,appellation_legale,preferred_name,nom_prefere,lead_department,ministere_responsable,abbreviation,abreviation,FAA_LGFP,status_statut,end_date_fin
Q1058376,95,Department of Justice Canada,harmonized_name,2232.0,Department of Justice Canada,Ministère de la Justice Canada,Department of Justice,Ministère de la Justice,Department of Justice Canada,Ministère de la Justice Canada,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,1.0,a,
Q1191463,100,Department of National Defence,legal_title,2233.0,National Defence,Défense nationale,Department of National Defence,Ministère de la Défense nationale,National Defence,Défense nationale,National Defence,Défense nationale,DND,MDN,1.0,a,
Q349770,100,Natural Resources Canada,harmonized_name,2234.0,Natural Resources Canada,Ressources naturelles Canada,Department of Natural Resources,Ministère des Ressources naturelles,Natural Resources Canada,Ressources naturelles Canada,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,1.0,a,
Q2602726,100,Public Safety Canada,harmonized_name,2235.0,Public Safety Canada,Sécurité publique Canada,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,Public Safety Canada,Sécurité publique Canada,Public Safety Canada,Sécurité publique Canada,PS,SP,1.0,a,
Q7257673,100,Department of Public Works and Government Services,legal_title,2236.0,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,PSPC,SPAC,1.0,a,
Q348789,100,Environment and Climate Change Canada,harmonized_name,2237.0,Environment and Climate Change Canada,Environnement et Changement climatique Canada,Department of the Environment,Ministère de l'Environnement,Environment and Climate Change Canada,Environnement et Changement climatique Canada,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC,ECCC,1.0,a,
Q2035496,100,Transport Canada,harmonized_name,2238.0,Transport Canada,Transports Canada,Department of Transport,Ministère des Transports,Transport Canada,Transports Canada,Transport Canada,Transports Canada,TC,TC,1.0,a,
Q429575,100,Veterans Affairs Canada,harmonized_name,2239.0,Veterans Affairs Canada,Anciens Combattants Canada,Department of Veterans Affairs,Ministère des Anciens Combattants,Veterans Affairs Canada,Anciens Combattants Canada,Veterans Affairs Canada,Anciens Combattants Canada,VAC,ACC,1.0,a,
,0,,,2240.0,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,Minister of Emergency Management and Community Resilience and Minister responsible for Prairies Economic Development Canada,Ministre de la Gestion des urgences et de la Résilience des communautés et ministre responsable de Développement économique Canada pour les Prairies,PrairiesCan,PrairiesCan,1.0,a,
Q85269208,100,Women and Gender Equality Canada,harmonized_name,2241.0,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,WAGE,FEGC,1.0,a,
Q17133814,100,Treasury Board Secretariat,legal_title,2242.0,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,Treasury Board Secretariat,Secrétariat du Conseil du Trésor,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,TBS,SCT,,a,
