Platform,Count,Date,Language
Flickr,5,2024-11-07,English
Flickr,4,2024-11-07,Français
Instagram,21,2024-11-07,Bilingual
Instagram,1,2024-11-07,Bilingue
Instagram,51,2024-11-07,English
Instagram,51,2024-11-07,Français
Intagram,1,2024-11-07,English
LinkedIn,89,2024-11-07,Bilingual
LinkedIn,3,2024-11-07,Bilingue
LinkedIn,11,2024-11-07,English
LinkedIn,11,2024-11-07,Français
Linkedin,1,2024-11-07,Bilingual
Snapchat,1,2024-11-07,Français
X,27,2024-11-07,Bilingual
X,2,2024-11-07,Bilingue
X,349,2024-11-07,English
X,352,2024-11-07,Français
YouTube,23,2024-11-07,Bilingual
YouTube,3,2024-11-07,Bilingue
YouTube,62,2024-11-07,English
YouTube,58,2024-11-07,Français
Youtube,2,2024-11-07,Bilingual
Youtube,2,2024-11-07,English
Youtube,2,2024-11-07,Français
snapchat,1,2024-11-07,English
x,1,2024-11-07,English
x,1,2024-11-07,Français
Facebook,37,2024-11-08,Bilingual
Facebook,2,2024-11-08,Bilingue
Facebook,323,2024-11-08,English
Facebook,314,2024-11-08,Français
Flickr,12,2024-11-08,Bilingual
Flickr,1,2024-11-08,Bilingue
Flickr,5,2024-11-08,English
Flickr,4,2024-11-08,Français
Instagram,21,2024-11-08,Bilingual
Instagram,1,2024-11-08,Bilingue
Instagram,51,2024-11-08,English
Instagram,51,2024-11-08,Français
Intagram,1,2024-11-08,English
LinkedIn,89,2024-11-08,Bilingual
LinkedIn,3,2024-11-08,Bilingue
LinkedIn,11,2024-11-08,English
LinkedIn,11,2024-11-08,Français
Linkedin,1,2024-11-08,Bilingual
Snapchat,1,2024-11-08,Français
X,27,2024-11-08,Bilingual
X,2,2024-11-08,Bilingue
X,349,2024-11-08,English
X,352,2024-11-08,Français
YouTube,23,2024-11-08,Bilingual
YouTube,3,2024-11-08,Bilingue
YouTube,62,2024-11-08,English
YouTube,58,2024-11-08,Français
Youtube,2,2024-11-08,Bilingual
Youtube,2,2024-11-08,English
Youtube,2,2024-11-08,Français
snapchat,1,2024-11-08,English
x,1,2024-11-08,English
x,1,2024-11-08,Français
Facebook,37,2024-11-09,Bilingual
Facebook,2,2024-11-09,Bilingue
Facebook,323,2024-11-09,English
Facebook,314,2024-11-09,Français
Flickr,12,2024-11-09,Bilingual
Flickr,1,2024-11-09,Bilingue
Flickr,5,2024-11-09,English
Flickr,4,2024-11-09,Français
Instagram,21,2024-11-09,Bilingual
Instagram,1,2024-11-09,Bilingue
Instagram,51,2024-11-09,English
Instagram,51,2024-11-09,Français
Intagram,1,2024-11-09,English
LinkedIn,89,2024-11-09,Bilingual
LinkedIn,3,2024-11-09,Bilingue
LinkedIn,11,2024-11-09,English
LinkedIn,11,2024-11-09,Français
Linkedin,1,2024-11-09,Bilingual
Snapchat,1,2024-11-09,Français
X,27,2024-11-09,Bilingual
X,2,2024-11-09,Bilingue
X,349,2024-11-09,English
X,352,2024-11-09,Français
YouTube,23,2024-11-09,Bilingual
YouTube,3,2024-11-09,Bilingue
YouTube,62,2024-11-09,English
YouTube,58,2024-11-09,Français
Youtube,2,2024-11-09,Bilingual
Youtube,2,2024-11-09,English
Youtube,2,2024-11-09,Français
snapchat,1,2024-11-09,English
x,1,2024-11-09,English
x,1,2024-11-09,Français
Facebook,37,2024-11-10,Bilingual
Facebook,2,2024-11-10,Bilingue
Facebook,323,2024-11-10,English
Facebook,314,2024-11-10,Français
Flickr,12,2024-11-10,Bilingual
Flickr,1,2024-11-10,Bilingue
Flickr,5,2024-11-10,English
Flickr,4,2024-11-10,Français
Instagram,21,2024-11-10,Bilingual
Instagram,1,2024-11-10,Bilingue
Instagram,51,2024-11-10,English
Instagram,51,2024-11-10,Français
Intagram,1,2024-11-10,English
LinkedIn,89,2024-11-10,Bilingual
LinkedIn,3,2024-11-10,Bilingue
LinkedIn,11,2024-11-10,English
LinkedIn,11,2024-11-10,Français
Linkedin,1,2024-11-10,Bilingual
Snapchat,1,2024-11-10,Français
X,27,2024-11-10,Bilingual
X,2,2024-11-10,Bilingue
X,349,2024-11-10,English
X,352,2024-11-10,Français
YouTube,23,2024-11-10,Bilingual
YouTube,3,2024-11-10,Bilingue
YouTube,62,2024-11-10,English
YouTube,58,2024-11-10,Français
Youtube,2,2024-11-10,Bilingual
Youtube,2,2024-11-10,English
Youtube,2,2024-11-10,Français
snapchat,1,2024-11-10,English
x,1,2024-11-10,English
x,1,2024-11-10,Français
Facebook,37,2024-11-11,Bilingual
Facebook,2,2024-11-11,Bilingue
Facebook,323,2024-11-11,English
Facebook,314,2024-11-11,Français
Flickr,12,2024-11-11,Bilingual
Flickr,1,2024-11-11,Bilingue
Flickr,5,2024-11-11,English
Flickr,4,2024-11-11,Français
Instagram,21,2024-11-11,Bilingual
Instagram,1,2024-11-11,Bilingue
Instagram,51,2024-11-11,English
Instagram,51,2024-11-11,Français
Intagram,1,2024-11-11,English
LinkedIn,89,2024-11-11,Bilingual
LinkedIn,3,2024-11-11,Bilingue
LinkedIn,11,2024-11-11,English
LinkedIn,11,2024-11-11,Français
Linkedin,1,2024-11-11,Bilingual
Snapchat,1,2024-11-11,Français
X,27,2024-11-11,Bilingual
X,2,2024-11-11,Bilingue
X,349,2024-11-11,English
X,352,2024-11-11,Français
YouTube,23,2024-11-11,Bilingual
YouTube,3,2024-11-11,Bilingue
YouTube,62,2024-11-11,English
YouTube,58,2024-11-11,Français
Youtube,2,2024-11-11,Bilingual
Youtube,2,2024-11-11,English
Youtube,2,2024-11-11,Français
snapchat,1,2024-11-11,English
x,1,2024-11-11,English
x,1,2024-11-11,Français
Facebook,37,2024-11-12,Bilingual
Facebook,2,2024-11-12,Bilingue
Facebook,323,2024-11-12,English
Facebook,314,2024-11-12,Français
Flickr,12,2024-11-12,Bilingual
Flickr,1,2024-11-12,Bilingue
Flickr,5,2024-11-12,English
Flickr,4,2024-11-12,Français
Instagram,21,2024-11-12,Bilingual
Instagram,1,2024-11-12,Bilingue
Instagram,51,2024-11-12,English
Instagram,51,2024-11-12,Français
Intagram,1,2024-11-12,English
LinkedIn,89,2024-11-12,Bilingual
LinkedIn,3,2024-11-12,Bilingue
LinkedIn,11,2024-11-12,English
LinkedIn,11,2024-11-12,Français
Linkedin,1,2024-11-12,Bilingual
Snapchat,1,2024-11-12,Français
X,27,2024-11-12,Bilingual
X,2,2024-11-12,Bilingue
X,349,2024-11-12,English
X,352,2024-11-12,Français
YouTube,23,2024-11-12,Bilingual
YouTube,3,2024-11-12,Bilingue
YouTube,62,2024-11-12,English
YouTube,58,2024-11-12,Français
Youtube,2,2024-11-12,Bilingual
Youtube,2,2024-11-12,English
Youtube,2,2024-11-12,Français
snapchat,1,2024-11-12,English
x,1,2024-11-12,English
x,1,2024-11-12,Français
Facebook,37,2024-11-13,Bilingual
Facebook,2,2024-11-13,Bilingue
Facebook,323,2024-11-13,English
Facebook,314,2024-11-13,Français
Flickr,12,2024-11-13,Bilingual
Flickr,1,2024-11-13,Bilingue
Flickr,5,2024-11-13,English
Flickr,4,2024-11-13,Français
Instagram,21,2024-11-13,Bilingual
Instagram,1,2024-11-13,Bilingue
Instagram,51,2024-11-13,English
Instagram,51,2024-11-13,Français
Intagram,1,2024-11-13,English
LinkedIn,89,2024-11-13,Bilingual
LinkedIn,3,2024-11-13,Bilingue
LinkedIn,11,2024-11-13,English
LinkedIn,11,2024-11-13,Français
Linkedin,1,2024-11-13,Bilingual
Snapchat,1,2024-11-13,Français
X,27,2024-11-13,Bilingual
X,2,2024-11-13,Bilingue
X,349,2024-11-13,English
X,352,2024-11-13,Français
YouTube,23,2024-11-13,Bilingual
YouTube,3,2024-11-13,Bilingue
YouTube,62,2024-11-13,English
YouTube,58,2024-11-13,Français
Youtube,2,2024-11-13,Bilingual
Youtube,2,2024-11-13,English
Youtube,2,2024-11-13,Français
snapchat,1,2024-11-13,English
x,1,2024-11-13,English
x,1,2024-11-13,Français
Facebook,37,2024-11-14,Bilingual
Facebook,2,2024-11-14,Bilingue
Facebook,323,2024-11-14,English
Facebook,314,2024-11-14,Français
Flickr,12,2024-11-14,Bilingual
Flickr,1,2024-11-14,Bilingue
Flickr,5,2024-11-14,English
Flickr,4,2024-11-14,Français
Instagram,21,2024-11-14,Bilingual
Instagram,1,2024-11-14,Bilingue
Instagram,51,2024-11-14,English
Instagram,51,2024-11-14,Français
Intagram,1,2024-11-14,English
LinkedIn,89,2024-11-14,Bilingual
LinkedIn,3,2024-11-14,Bilingue
LinkedIn,11,2024-11-14,English
LinkedIn,11,2024-11-14,Français
Linkedin,1,2024-11-14,Bilingual
Snapchat,1,2024-11-14,Français
X,27,2024-11-14,Bilingual
X,2,2024-11-14,Bilingue
X,349,2024-11-14,English
X,352,2024-11-14,Français
YouTube,23,2024-11-14,Bilingual
YouTube,3,2024-11-14,Bilingue
YouTube,62,2024-11-14,English
YouTube,58,2024-11-14,Français
Youtube,2,2024-11-14,Bilingual
Youtube,2,2024-11-14,English
Youtube,2,2024-11-14,Français
snapchat,1,2024-11-14,English
x,1,2024-11-14,English
x,1,2024-11-14,Français
Facebook,37,2024-11-15,Bilingual
Facebook,2,2024-11-15,Bilingue
Facebook,323,2024-11-15,English
Facebook,314,2024-11-15,Français
Flickr,12,2024-11-15,Bilingual
Flickr,1,2024-11-15,Bilingue
Flickr,5,2024-11-15,English
Flickr,4,2024-11-15,Français
Instagram,20,2024-11-15,Bilingual
Instagram,1,2024-11-15,Bilingue
Instagram,52,2024-11-15,English
Instagram,52,2024-11-15,Français
Intagram,1,2024-11-15,English
LinkedIn,89,2024-11-15,Bilingual
LinkedIn,3,2024-11-15,Bilingue
LinkedIn,11,2024-11-15,English
LinkedIn,11,2024-11-15,Français
